Gas;Brake;Fuel;Gear;Rpms;SteerAngle;SpeedKmh;Heading;Pitch;Roll;BrakeTemp_front_left;BrakeTemp_front_right;BrakeTemp_rear_left;BrakeTemp_rear_right;TyreTempI_front_left;TyreTempI_front_right;TyreTempI_rear_left;TyreTempI_rear_right;TyreTempM_front_left;TyreTempM_front_right;TyreTempM_rear_left;TyreTempM_rear_right;TyreTempO_front_left;TyreTempO_front_right;TyreTempO_rear_left;TyreTempO_rear_right;isNewLap
1;0;65;4;8773;0.043183252;161.8031;2.126947;-0.009965074;-0.0037406336;563.75146;576.7424;300.643;302.2;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;4;8819;0.043183252;163.19576;2.1475022;-0.009914004;-0.0018825765;561.17676;574.0972;299.68732;301.23877;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;5;8006;0.0426195;163.82751;2.1722078;-0.013419946;-0.005038155;558.62256;571.4731;298.73764;300.28357;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;5;7357;0.03934975;165.2148;2.2004712;-0.008597208;-0.0040060105;556.0441;568.8245;297.77667;299.31705;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;5;7425;0.0308935;166.59648;2.224132;-0.007366622;-0.0061539593;553.21277;565.9162;296.71933;298.25333;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;5;7476;0.01499575;167.84647;2.2368374;-0.009600718;-0.011035854;550.8898;563.53033;295.84995;297.37888;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;5;7507;0.016912501;169.07391;2.2444844;-0.0063901744;-0.009515214;548.30524;560.8761;294.8808;296.40405;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;5;7569;0.017138;170.51569;2.2510448;-0.0059376033;-0.013700853;545.7162;558.2172;293.90787;295.42548;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;5;7614;0.017138;171.72499;2.2580218;-0.0049172402;-0.015160044;543.38275;555.8211;293.0293;294.54175;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;5;7680;0.015559501;173.1565;2.2673724;-0.0043847095;-0.01638752;540.5277;552.88965;291.95218;293.45834;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;5;7733;0.015334;174.4235;2.2740471;-0.0035040413;-0.014000653;537.929;550.2215;290.96964;292.47003;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;5;7789;0.015334;175.60896;2.2813132;-0.00267015;-0.014151405;535.58826;547.81836;290.0829;291.5782;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;5;7855;0.0133045;177.00294;2.2902064;-0.0022778574;-0.014837999;532.72485;544.8789;288.99597;290.485;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;5;7908;0.0102602495;178.24272;2.2946496;-0.004178139;-0.011532713;530.1193;542.20435;288.00485;289.48804;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;5;7965;0.007667;179.48822;2.299721;-0.008994772;-0.012323875;527.51184;539.52783;287.01093;288.48837;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;5;8002;-0.003157;180.75528;2.3021204;-0.0095900465;-0.007584139;524.9037;536.85077;286.01474;287.4864;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;5;8065;-0.0133045;181.92734;2.2996612;-0.010567521;-0.015135633;522.29376;534.1722;285.01593;286.4818;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;5;8119;-0.015334;183.22202;2.29154;-0.008546004;-0.020013621;519.683;531.4928;284.0147;285.47482;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;5;8166;-0.01567225;184.36931;2.2838998;-0.006859033;-0.022964219;517.07227;528.81354;283.01157;284.46585;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;5;8226;-0.016236;185.63065;2.2758818;-0.007913992;-0.026698682;514.462;526.1347;282.0065;283.45496;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;5;8272;-0.016236;186.76341;2.2676213;-0.0044671637;-0.029368367;511.85202;523.45654;280.99963;282.44226;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;5;8326;-0.01815275;187.90381;2.2603216;-0.005198247;-0.026909746;509.24295;520.7794;279.9911;281.4279;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;65;5;8371;-0.023339251;189.05864;2.2518418;-0.0018553649;-0.030145353;506.6352;518.10394;278.9811;280.41205;0;0;0;0;0;0;0;0;0;0;0;0;0
